county,precinct,office,district,party,candidate,vote
Box Elder,BC01,REGISTERED VOTERS TOTAL,,,VOTERS,512
Box Elder,BC01,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,440
Box Elder,BC01,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,72
Box Elder,BC01,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC01,BALLOTS CAST TOTAL,,,BALLOTS CAST,351
Box Elder,BC01,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,323
Box Elder,BC01,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,28
Box Elder,BC01,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC01,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC01,Democratic for U.S. House 1,1,DEM,DARREN PARRY,15
Box Elder,BC01,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,13
Box Elder,BC01,Republican for U.S. House 1,1,REP,KATIE WITT,73
Box Elder,BC01,Republican for U.S. House 1,1,REP,BOB STEVENSON,82
Box Elder,BC01,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,91
Box Elder,BC01,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,67
Box Elder,BC01,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",69
Box Elder,BC01,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",104
Box Elder,BC01,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",113
Box Elder,BC01,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",37
Box Elder,BC01,Republican for Attorney General,,REP,SEAN D. REYES,171
Box Elder,BC01,Republican for Attorney General,,REP,DAVID O. LEAVITT,144
Box Elder,BC01,Republican for Commissioner Seat C,,REP,KRIS UDY,67
Box Elder,BC01,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,52
Box Elder,BC01,Republican for Commissioner Seat C,,REP,STAN SUMMERS,122
Box Elder,BC01,Republican for Commissioner Seat C,,REP,ALDEN FARR,80
Box Elder,BC10,REGISTERED VOTERS TOTAL,,,VOTERS,397
Box Elder,BC10,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,375
Box Elder,BC10,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,22
Box Elder,BC10,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC10,BALLOTS CAST TOTAL,,,BALLOTS CAST,307
Box Elder,BC10,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,292
Box Elder,BC10,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,15
Box Elder,BC10,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC10,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC10,Democratic for U.S. House 1,1,DEM,DARREN PARRY,8
Box Elder,BC10,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,7
Box Elder,BC10,Republican for U.S. House 1,1,REP,KATIE WITT,55
Box Elder,BC10,Republican for U.S. House 1,1,REP,BOB STEVENSON,76
Box Elder,BC10,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,82
Box Elder,BC10,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,63
Box Elder,BC10,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",64
Box Elder,BC10,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",102
Box Elder,BC10,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",90
Box Elder,BC10,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",36
Box Elder,BC10,Republican for Attorney General,,REP,SEAN D. REYES,164
Box Elder,BC10,Republican for Attorney General,,REP,DAVID O. LEAVITT,115
Box Elder,BC10,Republican for Commissioner Seat C,,REP,KRIS UDY,89
Box Elder,BC10,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,38
Box Elder,BC10,Republican for Commissioner Seat C,,REP,STAN SUMMERS,90
Box Elder,BC10,Republican for Commissioner Seat C,,REP,ALDEN FARR,65
Box Elder,BC11,REGISTERED VOTERS TOTAL,,,VOTERS,324
Box Elder,BC11,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,290
Box Elder,BC11,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,34
Box Elder,BC11,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC11,BALLOTS CAST TOTAL,,,BALLOTS CAST,240
Box Elder,BC11,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,219
Box Elder,BC11,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,21
Box Elder,BC11,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC11,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC11,Democratic for U.S. House 1,1,DEM,DARREN PARRY,13
Box Elder,BC11,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,8
Box Elder,BC11,Republican for U.S. House 1,1,REP,KATIE WITT,40
Box Elder,BC11,Republican for U.S. House 1,1,REP,BOB STEVENSON,57
Box Elder,BC11,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,74
Box Elder,BC11,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,41
Box Elder,BC11,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",46
Box Elder,BC11,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",70
Box Elder,BC11,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",72
Box Elder,BC11,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",31
Box Elder,BC11,Republican for Attorney General,,REP,SEAN D. REYES,115
Box Elder,BC11,Republican for Attorney General,,REP,DAVID O. LEAVITT,97
Box Elder,BC11,Republican for Commissioner Seat C,,REP,KRIS UDY,78
Box Elder,BC11,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,24
Box Elder,BC11,Republican for Commissioner Seat C,,REP,STAN SUMMERS,82
Box Elder,BC11,Republican for Commissioner Seat C,,REP,ALDEN FARR,33
Box Elder,BC12,REGISTERED VOTERS TOTAL,,,VOTERS,521
Box Elder,BC12,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,474
Box Elder,BC12,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,47
Box Elder,BC12,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC12,BALLOTS CAST TOTAL,,,BALLOTS CAST,388
Box Elder,BC12,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,358
Box Elder,BC12,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,30
Box Elder,BC12,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC12,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC12,Democratic for U.S. House 1,1,DEM,DARREN PARRY,19
Box Elder,BC12,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,11
Box Elder,BC12,Republican for U.S. House 1,1,REP,KATIE WITT,64
Box Elder,BC12,Republican for U.S. House 1,1,REP,BOB STEVENSON,100
Box Elder,BC12,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,110
Box Elder,BC12,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,71
Box Elder,BC12,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",104
Box Elder,BC12,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",108
Box Elder,BC12,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",97
Box Elder,BC12,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",48
Box Elder,BC12,Republican for Attorney General,,REP,SEAN D. REYES,201
Box Elder,BC12,Republican for Attorney General,,REP,DAVID O. LEAVITT,145
Box Elder,BC12,Republican for Commissioner Seat C,,REP,KRIS UDY,58
Box Elder,BC12,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,82
Box Elder,BC12,Republican for Commissioner Seat C,,REP,STAN SUMMERS,150
Box Elder,BC12,Republican for Commissioner Seat C,,REP,ALDEN FARR,57
Box Elder,BC13,REGISTERED VOTERS TOTAL,,,VOTERS,332
Box Elder,BC13,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,295
Box Elder,BC13,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,37
Box Elder,BC13,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC13,BALLOTS CAST TOTAL,,,BALLOTS CAST,227
Box Elder,BC13,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,198
Box Elder,BC13,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,29
Box Elder,BC13,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC13,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC13,Democratic for U.S. House 1,1,DEM,DARREN PARRY,17
Box Elder,BC13,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,12
Box Elder,BC13,Republican for U.S. House 1,1,REP,KATIE WITT,38
Box Elder,BC13,Republican for U.S. House 1,1,REP,BOB STEVENSON,46
Box Elder,BC13,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,59
Box Elder,BC13,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,49
Box Elder,BC13,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",37
Box Elder,BC13,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",55
Box Elder,BC13,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",65
Box Elder,BC13,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",41
Box Elder,BC13,Republican for Attorney General,,REP,SEAN D. REYES,116
Box Elder,BC13,Republican for Attorney General,,REP,DAVID O. LEAVITT,78
Box Elder,BC13,Republican for Commissioner Seat C,,REP,KRIS UDY,56
Box Elder,BC13,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,39
Box Elder,BC13,Republican for Commissioner Seat C,,REP,STAN SUMMERS,77
Box Elder,BC13,Republican for Commissioner Seat C,,REP,ALDEN FARR,21
Box Elder,BC14,REGISTERED VOTERS TOTAL,,,VOTERS,476
Box Elder,BC14,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,418
Box Elder,BC14,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,58
Box Elder,BC14,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC14,BALLOTS CAST TOTAL,,,BALLOTS CAST,309
Box Elder,BC14,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,278
Box Elder,BC14,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,31
Box Elder,BC14,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC14,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC14,Democratic for U.S. House 1,1,DEM,DARREN PARRY,20
Box Elder,BC14,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,11
Box Elder,BC14,Republican for U.S. House 1,1,REP,KATIE WITT,54
Box Elder,BC14,Republican for U.S. House 1,1,REP,BOB STEVENSON,80
Box Elder,BC14,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,75
Box Elder,BC14,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,58
Box Elder,BC14,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",56
Box Elder,BC14,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",72
Box Elder,BC14,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",88
Box Elder,BC14,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",62
Box Elder,BC14,Republican for Attorney General,,REP,SEAN D. REYES,157
Box Elder,BC14,Republican for Attorney General,,REP,DAVID O. LEAVITT,113
Box Elder,BC14,Republican for Commissioner Seat C,,REP,KRIS UDY,63
Box Elder,BC14,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,37
Box Elder,BC14,Republican for Commissioner Seat C,,REP,STAN SUMMERS,128
Box Elder,BC14,Republican for Commissioner Seat C,,REP,ALDEN FARR,36
Box Elder,BC15,REGISTERED VOTERS TOTAL,,,VOTERS,482
Box Elder,BC15,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,433
Box Elder,BC15,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,49
Box Elder,BC15,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC15,BALLOTS CAST TOTAL,,,BALLOTS CAST,358
Box Elder,BC15,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,322
Box Elder,BC15,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,36
Box Elder,BC15,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC15,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC15,Democratic for U.S. House 1,1,DEM,DARREN PARRY,19
Box Elder,BC15,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,17
Box Elder,BC15,Republican for U.S. House 1,1,REP,KATIE WITT,52
Box Elder,BC15,Republican for U.S. House 1,1,REP,BOB STEVENSON,97
Box Elder,BC15,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,85
Box Elder,BC15,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,77
Box Elder,BC15,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",53
Box Elder,BC15,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",102
Box Elder,BC15,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",95
Box Elder,BC15,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",72
Box Elder,BC15,Republican for Attorney General,,REP,SEAN D. REYES,190
Box Elder,BC15,Republican for Attorney General,,REP,DAVID O. LEAVITT,129
Box Elder,BC15,Republican for Commissioner Seat C,,REP,KRIS UDY,78
Box Elder,BC15,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,65
Box Elder,BC15,Republican for Commissioner Seat C,,REP,STAN SUMMERS,129
Box Elder,BC15,Republican for Commissioner Seat C,,REP,ALDEN FARR,44
Box Elder,BCN,REGISTERED VOTERS TOTAL,,,VOTERS,127
Box Elder,BCN,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,117
Box Elder,BCN,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,10
Box Elder,BCN,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BCN,BALLOTS CAST TOTAL,,,BALLOTS CAST,136
Box Elder,BCN,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,131
Box Elder,BCN,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,5
Box Elder,BCN,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BCN,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BCN,Democratic for U.S. House 1,1,DEM,DARREN PARRY,0
Box Elder,BCN,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,5
Box Elder,BCN,Republican for U.S. House 1,1,REP,KATIE WITT,12
Box Elder,BCN,Republican for U.S. House 1,1,REP,BOB STEVENSON,28
Box Elder,BCN,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,46
Box Elder,BCN,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,42
Box Elder,BCN,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",26
Box Elder,BCN,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",46
Box Elder,BCN,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",34
Box Elder,BCN,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",25
Box Elder,BCN,Republican for Attorney General,,REP,SEAN D. REYES,79
Box Elder,BCN,Republican for Attorney General,,REP,DAVID O. LEAVITT,50
Box Elder,BCN,Republican for Commissioner Seat C,,REP,KRIS UDY,59
Box Elder,BCN,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,19
Box Elder,BCN,Republican for Commissioner Seat C,,REP,STAN SUMMERS,23
Box Elder,BCN,Republican for Commissioner Seat C,,REP,ALDEN FARR,29
Box Elder,BD/C,REGISTERED VOTERS TOTAL,,,VOTERS,215
Box Elder,BD/C,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,215
Box Elder,BD/C,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,0
Box Elder,BD/C,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BD/C,BALLOTS CAST TOTAL,,,BALLOTS CAST,150
Box Elder,BD/C,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,148
Box Elder,BD/C,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,2
Box Elder,BD/C,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BD/C,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BD/C,Democratic for U.S. House 1,1,DEM,DARREN PARRY,2
Box Elder,BD/C,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,0
Box Elder,BD/C,Republican for U.S. House 1,1,REP,KATIE WITT,29
Box Elder,BD/C,Republican for U.S. House 1,1,REP,BOB STEVENSON,25
Box Elder,BD/C,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,30
Box Elder,BD/C,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,56
Box Elder,BD/C,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",24
Box Elder,BD/C,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",55
Box Elder,BD/C,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",33
Box Elder,BD/C,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",36
Box Elder,BD/C,Republican for Attorney General,,REP,SEAN D. REYES,84
Box Elder,BD/C,Republican for Attorney General,,REP,DAVID O. LEAVITT,59
Box Elder,BD/C,Republican for Commissioner Seat C,,REP,KRIS UDY,70
Box Elder,BD/C,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,18
Box Elder,BD/C,Republican for Commissioner Seat C,,REP,STAN SUMMERS,51
Box Elder,BD/C,Republican for Commissioner Seat C,,REP,ALDEN FARR,6
Box Elder,BEAR,REGISTERED VOTERS TOTAL,,,VOTERS,400
Box Elder,BEAR,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,391
Box Elder,BEAR,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,9
Box Elder,BEAR,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BEAR,BALLOTS CAST TOTAL,,,BALLOTS CAST,302
Box Elder,BEAR,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,291
Box Elder,BEAR,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,11
Box Elder,BEAR,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BEAR,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BEAR,Democratic for U.S. House 1,1,DEM,DARREN PARRY,3
Box Elder,BEAR,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,8
Box Elder,BEAR,Republican for U.S. House 1,1,REP,KATIE WITT,47
Box Elder,BEAR,Republican for U.S. House 1,1,REP,BOB STEVENSON,70
Box Elder,BEAR,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,51
Box Elder,BEAR,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,116
Box Elder,BEAR,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",37
Box Elder,BEAR,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",124
Box Elder,BEAR,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",65
Box Elder,BEAR,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",65
Box Elder,BEAR,Republican for Attorney General,,REP,SEAN D. REYES,187
Box Elder,BEAR,Republican for Attorney General,,REP,DAVID O. LEAVITT,103
Box Elder,BEAR,Republican for Commissioner Seat C,,REP,KRIS UDY,107
Box Elder,BEAR,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,25
Box Elder,BEAR,Republican for Commissioner Seat C,,REP,STAN SUMMERS,130
Box Elder,BEAR,Republican for Commissioner Seat C,,REP,ALDEN FARR,28
Box Elder,BRE,REGISTERED VOTERS TOTAL,,,VOTERS,224
Box Elder,BRE,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,211
Box Elder,BRE,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,13
Box Elder,BRE,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BRE,BALLOTS CAST TOTAL,,,BALLOTS CAST,179
Box Elder,BRE,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,169
Box Elder,BRE,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,10
Box Elder,BRE,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BRE,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BRE,Democratic for U.S. House 1,1,DEM,DARREN PARRY,4
Box Elder,BRE,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,6
Box Elder,BRE,Republican for U.S. House 1,1,REP,KATIE WITT,31
Box Elder,BRE,Republican for U.S. House 1,1,REP,BOB STEVENSON,36
Box Elder,BRE,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,41
Box Elder,BRE,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,60
