county,precinct,office,district,party,candidate,vote
Box Elder,BRE,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",21
Box Elder,BRE,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",71
Box Elder,BRE,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",39
Box Elder,BRE,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",38
Box Elder,BRE,Republican for Attorney General,,REP,SEAN D. REYES,102
Box Elder,BRE,Republican for Attorney General,,REP,DAVID O. LEAVITT,66
Box Elder,BRE,Republican for Commissioner Seat C,,REP,KRIS UDY,88
Box Elder,BRE,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,17
Box Elder,BRE,Republican for Commissioner Seat C,,REP,STAN SUMMERS,53
Box Elder,BRE,Republican for Commissioner Seat C,,REP,ALDEN FARR,10
Box Elder,BC02,REGISTERED VOTERS TOTAL,,,VOTERS,468
Box Elder,BC02,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,440
Box Elder,BC02,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,28
Box Elder,BC02,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC02,BALLOTS CAST TOTAL,,,BALLOTS CAST,301
Box Elder,BC02,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,282
Box Elder,BC02,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,19
Box Elder,BC02,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC02,BALLOTS CAST BLANK,,,BALLOTS CAST,1
Box Elder,BC02,Democratic for U.S. House 1,1,DEM,DARREN PARRY,14
Box Elder,BC02,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,4
Box Elder,BC02,Republican for U.S. House 1,1,REP,KATIE WITT,53
Box Elder,BC02,Republican for U.S. House 1,1,REP,BOB STEVENSON,74
Box Elder,BC02,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,96
Box Elder,BC02,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,47
Box Elder,BC02,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",67
Box Elder,BC02,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",90
Box Elder,BC02,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",70
Box Elder,BC02,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",54
Box Elder,BC02,Republican for Attorney General,,REP,SEAN D. REYES,160
Box Elder,BC02,Republican for Attorney General,,REP,DAVID O. LEAVITT,115
Box Elder,BC02,Republican for Commissioner Seat C,,REP,KRIS UDY,59
Box Elder,BC02,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,51
Box Elder,BC02,Republican for Commissioner Seat C,,REP,STAN SUMMERS,94
Box Elder,BC02,Republican for Commissioner Seat C,,REP,ALDEN FARR,69
Box Elder,CC,REGISTERED VOTERS TOTAL,,,VOTERS,10
Box Elder,CC,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,10
Box Elder,CC,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,0
Box Elder,CC,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,CC,BALLOTS CAST TOTAL,,,BALLOTS CAST,4
Box Elder,CC,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,4
Box Elder,CC,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,0
Box Elder,CC,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,CC,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,CC,Democratic for U.S. House 1,1,DEM,DARREN PARRY,0
Box Elder,CC,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,0
Box Elder,CC,Republican for U.S. House 1,1,REP,KATIE WITT,1
Box Elder,CC,Republican for U.S. House 1,1,REP,BOB STEVENSON,0
Box Elder,CC,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,1
Box Elder,CC,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,2
Box Elder,CC,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",3
Box Elder,CC,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",0
Box Elder,CC,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",1
Box Elder,CC,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",0
Box Elder,CC,Republican for Attorney General,,REP,SEAN D. REYES,3
Box Elder,CC,Republican for Attorney General,,REP,DAVID O. LEAVITT,1
Box Elder,CC,Republican for Commissioner Seat C,,REP,KRIS UDY,0
Box Elder,CC,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,0
Box Elder,CC,Republican for Commissioner Seat C,,REP,STAN SUMMERS,4
Box Elder,CC,Republican for Commissioner Seat C,,REP,ALDEN FARR,0
Box Elder,COR1,REGISTERED VOTERS TOTAL,,,VOTERS,390
Box Elder,COR1,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,353
Box Elder,COR1,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,37
Box Elder,COR1,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,COR1,BALLOTS CAST TOTAL,,,BALLOTS CAST,266
Box Elder,COR1,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,246
Box Elder,COR1,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,20
Box Elder,COR1,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,COR1,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,COR1,Democratic for U.S. House 1,1,DEM,DARREN PARRY,9
Box Elder,COR1,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,11
Box Elder,COR1,Republican for U.S. House 1,1,REP,KATIE WITT,43
Box Elder,COR1,Republican for U.S. House 1,1,REP,BOB STEVENSON,49
Box Elder,COR1,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,55
Box Elder,COR1,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,86
Box Elder,COR1,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",37
Box Elder,COR1,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",68
Box Elder,COR1,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",71
Box Elder,COR1,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",68
Box Elder,COR1,Republican for Attorney General,,REP,SEAN D. REYES,140
Box Elder,COR1,Republican for Attorney General,,REP,DAVID O. LEAVITT,94
Box Elder,COR1,Republican for Commissioner Seat C,,REP,KRIS UDY,97
Box Elder,COR1,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,30
Box Elder,COR1,Republican for Commissioner Seat C,,REP,STAN SUMMERS,93
Box Elder,COR1,Republican for Commissioner Seat C,,REP,ALDEN FARR,22
Box Elder,COR2,REGISTERED VOTERS TOTAL,,,VOTERS,121
Box Elder,COR2,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,117
Box Elder,COR2,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,4
Box Elder,COR2,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,COR2,BALLOTS CAST TOTAL,,,BALLOTS CAST,79
Box Elder,COR2,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,76
Box Elder,COR2,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,3
Box Elder,COR2,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,COR2,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,COR2,Democratic for U.S. House 1,1,DEM,DARREN PARRY,2
Box Elder,COR2,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,1
Box Elder,COR2,Republican for U.S. House 1,1,REP,KATIE WITT,12
Box Elder,COR2,Republican for U.S. House 1,1,REP,BOB STEVENSON,15
Box Elder,COR2,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,11
Box Elder,COR2,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,38
Box Elder,COR2,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",18
Box Elder,COR2,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",29
Box Elder,COR2,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",14
Box Elder,COR2,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",15
Box Elder,COR2,Republican for Attorney General,,REP,SEAN D. REYES,50
Box Elder,COR2,Republican for Attorney General,,REP,DAVID O. LEAVITT,26
Box Elder,COR2,Republican for Commissioner Seat C,,REP,KRIS UDY,29
Box Elder,COR2,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,14
Box Elder,COR2,Republican for Commissioner Seat C,,REP,STAN SUMMERS,26
Box Elder,COR2,Republican for Commissioner Seat C,,REP,ALDEN FARR,5
Box Elder,DEWY,REGISTERED VOTERS TOTAL,,,VOTERS,248
Box Elder,DEWY,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,231
Box Elder,DEWY,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,17
Box Elder,DEWY,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,DEWY,BALLOTS CAST TOTAL,,,BALLOTS CAST,199
Box Elder,DEWY,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,187
Box Elder,DEWY,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,12
Box Elder,DEWY,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,DEWY,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,DEWY,Democratic for U.S. House 1,1,DEM,DARREN PARRY,6
Box Elder,DEWY,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,6
Box Elder,DEWY,Republican for U.S. House 1,1,REP,KATIE WITT,37
Box Elder,DEWY,Republican for U.S. House 1,1,REP,BOB STEVENSON,45
Box Elder,DEWY,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,42
Box Elder,DEWY,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,59
Box Elder,DEWY,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",28
Box Elder,DEWY,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",73
Box Elder,DEWY,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",42
Box Elder,DEWY,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",44
Box Elder,DEWY,Republican for Attorney General,,REP,SEAN D. REYES,93
Box Elder,DEWY,Republican for Attorney General,,REP,DAVID O. LEAVITT,90
Box Elder,DEWY,Republican for Commissioner Seat C,,REP,KRIS UDY,82
Box Elder,DEWY,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,12
Box Elder,DEWY,Republican for Commissioner Seat C,,REP,STAN SUMMERS,86
Box Elder,DEWY,Republican for Commissioner Seat C,,REP,ALDEN FARR,7
Box Elder,ELWD,REGISTERED VOTERS TOTAL,,,VOTERS,559
Box Elder,ELWD,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,538
Box Elder,ELWD,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,21
Box Elder,ELWD,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,ELWD,BALLOTS CAST TOTAL,,,BALLOTS CAST,422
Box Elder,ELWD,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,395
Box Elder,ELWD,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,27
Box Elder,ELWD,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,ELWD,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,ELWD,Democratic for U.S. House 1,1,DEM,DARREN PARRY,19
Box Elder,ELWD,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,8
Box Elder,ELWD,Republican for U.S. House 1,1,REP,KATIE WITT,55
Box Elder,ELWD,Republican for U.S. House 1,1,REP,BOB STEVENSON,118
Box Elder,ELWD,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,88
Box Elder,ELWD,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,123
Box Elder,ELWD,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",42
Box Elder,ELWD,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",184
Box Elder,ELWD,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",94
Box Elder,ELWD,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",73
Box Elder,ELWD,Republican for Attorney General,,REP,SEAN D. REYES,242
Box Elder,ELWD,Republican for Attorney General,,REP,DAVID O. LEAVITT,145
Box Elder,ELWD,Republican for Commissioner Seat C,,REP,KRIS UDY,184
Box Elder,ELWD,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,38
Box Elder,ELWD,Republican for Commissioner Seat C,,REP,STAN SUMMERS,156
Box Elder,ELWD,Republican for Commissioner Seat C,,REP,ALDEN FARR,16
Box Elder,FLDG1,REGISTERED VOTERS TOTAL,,,VOTERS,194
Box Elder,FLDG1,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,181
Box Elder,FLDG1,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,13
Box Elder,FLDG1,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,FLDG1,BALLOTS CAST TOTAL,,,BALLOTS CAST,124
Box Elder,FLDG1,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,117
Box Elder,FLDG1,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,7
Box Elder,FLDG1,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,FLDG1,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,FLDG1,Democratic for U.S. House 1,1,DEM,DARREN PARRY,5
Box Elder,FLDG1,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,2
Box Elder,FLDG1,Republican for U.S. House 1,1,REP,KATIE WITT,16
Box Elder,FLDG1,Republican for U.S. House 1,1,REP,BOB STEVENSON,29
Box Elder,FLDG1,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,27
Box Elder,FLDG1,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,43
Box Elder,FLDG1,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",11
Box Elder,FLDG1,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",52
Box Elder,FLDG1,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",34
Box Elder,FLDG1,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",19
Box Elder,FLDG1,Republican for Attorney General,,REP,SEAN D. REYES,65
Box Elder,FLDG1,Republican for Attorney General,,REP,DAVID O. LEAVITT,49
Box Elder,FLDG1,Republican for Commissioner Seat C,,REP,KRIS UDY,47
Box Elder,FLDG1,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,8
Box Elder,FLDG1,Republican for Commissioner Seat C,,REP,STAN SUMMERS,56
Box Elder,FLDG1,Republican for Commissioner Seat C,,REP,ALDEN FARR,6
Box Elder,FLDG2,REGISTERED VOTERS TOTAL,,,VOTERS,238
Box Elder,FLDG2,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,229
Box Elder,FLDG2,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,9
Box Elder,FLDG2,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,FLDG2,BALLOTS CAST TOTAL,,,BALLOTS CAST,180
Box Elder,FLDG2,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,174
Box Elder,FLDG2,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,6
Box Elder,FLDG2,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,FLDG2,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,FLDG2,Democratic for U.S. House 1,1,DEM,DARREN PARRY,3
Box Elder,FLDG2,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,3
Box Elder,FLDG2,Republican for U.S. House 1,1,REP,KATIE WITT,32
Box Elder,FLDG2,Republican for U.S. House 1,1,REP,BOB STEVENSON,33
Box Elder,FLDG2,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,41
Box Elder,FLDG2,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,60
Box Elder,FLDG2,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",21
Box Elder,FLDG2,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",66
Box Elder,FLDG2,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",37
Box Elder,FLDG2,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",50
Box Elder,FLDG2,Republican for Attorney General,,REP,SEAN D. REYES,95
Box Elder,FLDG2,Republican for Attorney General,,REP,DAVID O. LEAVITT,75
Box Elder,FLDG2,Republican for Commissioner Seat C,,REP,KRIS UDY,83
Box Elder,FLDG2,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,12
Box Elder,FLDG2,Republican for Commissioner Seat C,,REP,STAN SUMMERS,75
Box Elder,FLDG2,Republican for Commissioner Seat C,,REP,ALDEN FARR,3
Box Elder,GAR1,REGISTERED VOTERS TOTAL,,,VOTERS,476
Box Elder,GAR1,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,448
Box Elder,GAR1,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,28
Box Elder,GAR1,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,GAR1,BALLOTS CAST TOTAL,,,BALLOTS CAST,331
Box Elder,GAR1,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,315
Box Elder,GAR1,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,16
Box Elder,GAR1,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,GAR1,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,GAR1,Democratic for U.S. House 1,1,DEM,DARREN PARRY,8
Box Elder,GAR1,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,8
Box Elder,GAR1,Republican for U.S. House 1,1,REP,KATIE WITT,58
Box Elder,GAR1,Republican for U.S. House 1,1,REP,BOB STEVENSON,77
Box Elder,GAR1,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,86
Box Elder,GAR1,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,84
Box Elder,GAR1,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",41
Box Elder,GAR1,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",110
Box Elder,GAR1,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",93
Box Elder,GAR1,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",71
Box Elder,GAR1,Republican for Attorney General,,REP,SEAN D. REYES,179
Box Elder,GAR1,Republican for Attorney General,,REP,DAVID O. LEAVITT,130
Box Elder,GAR1,Republican for Commissioner Seat C,,REP,KRIS UDY,120
Box Elder,GAR1,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,36
Box Elder,GAR1,Republican for Commissioner Seat C,,REP,STAN SUMMERS,141
Box Elder,GAR1,Republican for Commissioner Seat C,,REP,ALDEN FARR,11
Box Elder,GAR2,REGISTERED VOTERS TOTAL,,,VOTERS,409
Box Elder,GAR2,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,388
Box Elder,GAR2,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,21
Box Elder,GAR2,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,GAR2,BALLOTS CAST TOTAL,,,BALLOTS CAST,281
Box Elder,GAR2,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,268
Box Elder,GAR2,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,13
Box Elder,GAR2,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,GAR2,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,GAR2,Democratic for U.S. House 1,1,DEM,DARREN PARRY,7
Box Elder,GAR2,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,6
Box Elder,GAR2,Republican for U.S. House 1,1,REP,KATIE WITT,52
Box Elder,GAR2,Republican for U.S. House 1,1,REP,BOB STEVENSON,54
Box Elder,GAR2,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,86
Box Elder,GAR2,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,63
Box Elder,GAR2,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",42
Box Elder,GAR2,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",102
Box Elder,GAR2,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",65
Box Elder,GAR2,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",56
Box Elder,GAR2,Republican for Attorney General,,REP,SEAN D. REYES,129
Box Elder,GAR2,Republican for Attorney General,,REP,DAVID O. LEAVITT,134
Box Elder,GAR2,Republican for Commissioner Seat C,,REP,KRIS UDY,116
Box Elder,GAR2,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,27
Box Elder,GAR2,Republican for Commissioner Seat C,,REP,STAN SUMMERS,119
Box Elder,GAR2,Republican for Commissioner Seat C,,REP,ALDEN FARR,4
Box Elder,GARE,REGISTERED VOTERS TOTAL,,,VOTERS,279
Box Elder,GARE,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,273
Box Elder,GARE,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,6
Box Elder,GARE,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
